ID,slng,slat,elng,elat,duration,distance,elevation_difference,temperature,windSpeed,day_week,hour_day,restaurant,public facility,medical,accommodation,tourist attraction,transportation,education,TripType
0,8.496727,47.378521,8.49038,47.381591,194,587,0,10,7,0,22,0,1,0,0,0,0,0,1
1,8.537729,47.379719,8.523722,47.3899,5754,1547,3,0,4,1,6,0,1,0,0,0,1,0,1
2,8.510418,47.381356,8.523818,47.377148,442,1112,-4,6,4,1,17,2,2,0,0,0,0,0,1
3,8.535119,47.355189,8.536068,47.377502,1901,2482,-3,7,9,1,13,1,8,0,0,0,0,0,1
4,8.518982,47.386741,8.516692,47.389777,193,379,3,5,24,0,11,0,1,0,2,0,1,0,1
5,8.497982,47.381447,8.519782,47.37497,537,1793,-4,8,7,1,17,1,2,0,0,0,0,0,1
6,8.522117,47.394554,8.491061,47.392336,1068,2351,27,4,15,0,7,0,0,0,0,0,1,0,1
7,8.560587,47.350578,8.560476,47.368199,1307,1959,-47,3,24,0,9,1,1,0,0,0,3,0,1
8,8.493822,47.398555,8.486002,47.396401,3965,636,2,9,11,0,12,0,0,0,0,0,1,0,1
9,8.516692,47.389777,8.543768,47.411057,1761,3123,-42,10,7,0,6,1,2,0,1,0,4,0,1
10,8.535119,47.355189,8.541251,47.378982,1508,2686,-4,2,6,0,3,0,3,0,0,0,2,0,1
11,8.528647,47.382083,8.536433,47.388689,901,940,-27,7,28,1,3,0,1,0,0,0,5,0,1
12,8.533314,47.37311,8.523818,47.377148,529,844,-1,4,7,0,13,2,2,0,0,0,0,0,1
13,8.536068,47.377502,8.514138,47.374206,277,1692,-13,11,33,0,14,3,0,1,0,0,2,0,1
14,8.51817,47.391784,8.531935,47.384918,580,1287,-7,11,48,0,21,0,5,0,0,0,4,0,1
15,8.541541,47.413733,8.535802,47.409964,140,602,-14,5,22,1,11,0,1,0,0,0,0,0,1
16,8.525782,47.365194,8.531836,47.378548,1441,1553,16,6,17,0,17,0,0,0,0,0,1,1,1
17,8.528647,47.382083,8.527138,47.387531,367,616,-1,2,2,0,2,0,1,0,0,0,0,0,1
18,8.515252,47.381915,8.515633,47.379584,232,261,-3,10,9,0,14,0,3,1,0,0,0,0,1
19,8.546464,47.403822,8.528647,47.382083,825,2764,60,10,4,0,19,1,2,0,0,0,1,0,1
20,8.531836,47.378548,8.525782,47.365194,711,1553,-16,7,13,0,12,0,1,0,0,0,2,0,1
21,8.560476,47.368199,8.548045,47.370869,442,982,28,9,7,1,14,1,3,0,0,0,3,0,1
22,8.52689,47.3767,8.531836,47.378548,1229,425,9,11,32,0,9,0,0,0,0,0,1,1,1
23,8.531334,47.371359,8.52174,47.365272,519,990,-3,5,11,0,21,0,1,0,0,0,0,0,1
24,8.542726,47.379952,8.525782,47.365194,455,2079,-4,5,17,1,8,0,1,0,0,0,2,0,1
25,8.531836,47.378548,8.507056,47.371455,728,2026,-16,8,15,0,16,0,0,0,0,0,1,0,1
26,8.49163,47.389823,8.494127,47.383639,830,713,-13,6,32,0,5,0,4,0,0,0,2,0,1
27,8.528647,47.382083,8.54203,47.366923,1178,1964,2,4,6,0,10,1,3,0,0,3,1,0,1
28,8.548562,47.36691,8.534227,47.360004,1051,1325,4,2,7,0,19,2,1,0,0,0,1,0,1
29,8.519782,47.37497,8.486284,47.387685,805,2891,10,3,2,0,1,0,2,0,1,0,1,0,1
30,8.520371,47.358664,8.523818,47.377148,807,2072,10,10,17,0,16,2,2,0,0,0,0,0,1
31,8.528049,47.347701,8.533736,47.366904,538,2178,14,1,4,1,7,1,3,0,0,0,2,0,1
32,8.531935,47.384918,8.523818,47.377148,489,1058,-1,4,7,0,1,2,2,0,0,0,0,0,1
33,8.58392,47.4482,8.55845,47.43117,1118,2694,16,4,15,0,6,0,0,0,0,0,2,0,1
34,8.498196,47.385919,8.542036,47.394007,5261,3421,-78,9,11,0,12,0,1,0,0,0,0,1,1
35,8.531334,47.371359,8.520371,47.358664,1723,1635,-11,11,7,0,13,0,1,0,0,0,0,0,1
36,8.544935,47.366752,8.534843,47.362594,416,890,-4,4,30,0,7,0,4,0,0,1,0,0,1
37,8.518982,47.386741,8.528049,47.347701,1679,4394,-25,10,30,0,16,0,1,0,1,0,0,0,1
38,8.531334,47.371359,8.523818,47.377148,439,857,-1,3,6,0,8,2,2,0,0,0,0,0,1
39,8.531836,47.378548,8.52174,47.365272,750,1661,-12,5,22,0,17,0,1,0,0,0,0,0,1
40,8.554114,47.365119,8.54203,47.366923,525,932,21,3,2,1,8,1,3,0,0,3,1,0,1
41,8.532432,47.381174,8.520168,47.378556,555,968,-3,4,30,0,7,0,1,0,1,0,0,0,1
42,8.506823,47.407812,8.506474,47.418832,462,1226,63,8,13,0,11,0,0,0,1,0,3,0,1
43,8.528074,47.393309,8.51817,47.391784,246,765,25,4,28,0,13,1,0,0,0,0,1,0,1
44,8.494127,47.383639,8.518982,47.386741,1193,1903,5,8,15,0,16,2,1,0,0,0,3,0,1
45,8.536068,47.377502,8.520371,47.358664,1189,2405,-16,8,2,0,10,0,1,0,0,0,0,0,1
